"Date","Close","Open","High","Low","Volume","Change"
"2023-11-27","77.53","77.56","79.25","77.09","18.13M","-1.22%"
"2023-11-24","78.49","78.27","79.07","78.21","12.25M","-0.60%"
"2023-11-22","78.96","79.28","79.71","78.13","18.98M","0.03%"
"2023-11-21","78.94","77.85","79.28","77.60","20.37M","0.61%"
"2023-11-20","78.46","76.91","78.75","76.56","31.56M","1.11%"
"2023-11-17","77.60","77.02","78.47","76.75","35.58M","-1.91%"
"2023-11-16","79.11","79.52","80.77","78.23","61.98M","-9.14%"
"2023-11-15","87.07","86.96","87.83","85.89","27.72M","3.82%"
"2023-11-14","83.87","82.76","84.54","82.32","20.26M","1.96%"
"2023-11-13","82.26","82.75","83.32","82.08","11.12M","-0.59%"
"2023-11-10","82.75","82.41","82.87","81.66","9.80M","0.02%"
"2023-11-9","82.73","84.58","84.69","82.47","10.67M","-2.44%"
"2023-11-8","84.80","84.62","85.73","84.48","7.63M","-0.71%"
"2023-11-7","85.41","84.86","85.66","84.11","8.74M","0.06%"
"2023-11-6","85.36","86.55","86.72","85.23","9.46M","0.06%"
"2023-11-3","85.31","84.94","86.08","84.50","15.15M","2.28%"
"2023-11-2","83.41","83.65","83.98","83.03","9.49M","1.13%"
"2023-11-1","82.48","81.71","82.49","81.21","9.55M","-0.07%"
"2023-10-31","82.54","81.94","82.54","80.88","11.13M","-0.72%"
"2023-10-30","83.14","83.63","84.24","83.01","8.91M","0.39%"
"2023-10-27","82.82","83.87","84.12","82.48","10.80M","0.38%"
"2023-10-26","82.51","81.26","83.09","81.20","12.23M","1.83%"
"2023-10-25","81.03","81.30","82.00","80.78","11.39M","-2.22%"
"2023-10-24","82.87","80.45","83.32","80.44","17.28M","2.93%"
"2023-10-23","80.51","79.42","80.93","79.02","12.22M","0.71%"
"2023-10-20","79.94","80.23","80.86","79.78","14.64M","-2.05%"
"2023-10-19","81.61","81.48","82.39","81.11","12.19M","-1.69%"
"2023-10-18","83.01","82.96","83.73","82.76","9.25M","-1.07%"
"2023-10-17","83.91","82.75","84.36","82.56","8.10M","-0.47%"
"2023-10-16","84.31","83.70","84.96","82.63","9.91M","0.35%"
"2023-10-13","84.02","84.06","85.49","83.75","10.33M","-0.58%"
"2023-10-12","84.51","87.58","87.67","84.20","16.16M","-3.73%"
"2023-10-11","87.78","88.01","88.80","87.14","10.95M","0.70%"
"2023-10-10","87.17","85.67","87.74","85.57","13.47M","2.73%"
"2023-10-9","84.85","83.91","85.21","83.57","10.88M","-1.41%"
"2023-10-6","86.06","84.25","86.51","84.00","13.42M","2.86%"
"2023-10-5","83.67","83.52","83.71","82.45","10.26M","-0.49%"
"2023-10-4","84.08","84.28","84.54","83.65","8.85M","-0.54%"
"2023-10-3","84.54","84.50","85.00","83.95","11.42M","-2.30%"
"2023-10-2","86.53","86.75","87.11","85.89","8.18M","-0.24%"
"2023-9-29","86.74","87.29","87.95","86.61","9.65M","1.40%"
"2023-9-28","85.54","84.89","85.89","84.31","10.05M","-0.75%"
"2023-9-27","86.19","86.38","86.55","85.30","7.17M","0.33%"
"2023-9-26","85.91","86.46","87.07","85.70","8.94M","-1.50%"
"2023-9-25","87.22","85.88","87.27","85.77","9.63M","-1.22%"
"2023-9-22","88.30","87.36","88.88","87.11","22.47M","4.98%"
